question,answer_2022_08_22,answer_2022_08_25,similarity_score,length_diff,similarity_category
me gustaría acceder a la información de los examenes,"📚 ¿Podrías especificar qué tipo de información sobre los exámenes te gustaría conocer? ¿Te refieres a la inscripción, el acceso a los exámenes, o algún otro aspecto en particular? Estoy aquí para ayudarte con cualquier duda que tengas.","📅 Aquí tienes la información sobre los próximos exámenes:  



- 📖 **La Formación Histórica de la Cultura Jurídica Europea**:  

  - **Fecha del Examen**: 5 de septiembre de 2025  

  - **Hora de Inicio**: 17:00  

  - **Duración**: 125 minutos  

  - **Ciudad**: Madrid (PRESENCIAL)  

  - **Hotel**: ILUNION SUITES MADRID*  

  - **Dirección**: C/López de Hoyos, 143 · 28002 Madrid  



- 📜 **Derecho Romano Privado**:  

  - **Fecha del Examen**: 5 de septiembre de 2025  

  - **Hora de Inicio**: 19:30  

  - **Duración**: 125 minutos  

  - **Ciudad**: Madrid (PRESENCIAL)  

  - **Hotel**: ILUNION SUITES MADRID*  

  - **Dirección**: C/López de Hoyos, 143 · 28002 Madrid  



¿Te gustaría saber algo más sobre estos exámenes o algún otro tema relacionado? ✨",0.45,530,Medium (0.3-0.6)
solicitud para examenes presencial,"📅 Los exámenes programados son:  



- 📖 **La Formación Histórica de la Cultura Jurídica Europea**:  

  - **Año Académico**: 2024-2025  

  - **Periodo Lectivo**: Primer cuatrimestre  

  - **Estudio**: Grado en Derecho  

  - **Fecha del Examen**: 5 de septiembre de 2025  

  - **Hora de Inicio**: 17:00  

  - **Duración**: 125 minutos  

  - **Ciudad**: Madrid PRESENCIAL  

  - **Hotel**: ILUNION SUITES MADRID*  

  - **Dirección**: C/López de Hoyos, 143 · 28002 Madrid  



- ⚖️ **Derecho Romano Privado**:  

  - **Año Académico**: 2024-2025  

  - **Periodo Lectivo**: Primer cuatrimestre  

  - **Estudio**: Grado en Derecho  

  - **Fecha del Examen**: 5 de septiembre de 2025  

  - **Hora de Inicio**: 19:30  

  - **Duración**: 125 minutos  

  - **Ciudad**: Madrid PRESENCIAL  

  - **Hotel**: ILUNION SUITES MADRID*  

  - **Dirección**: C/López de Hoyos, 143 · 28002 Madrid  



Si necesitas más información o tienes alguna otra pregunta, ¡estaré encantado de ayudarte! ✨","📅 Tras la apertura del formulario de inscripción a exámenes, podrás inscribirte desde la pestaña 'Exámenes' de tu Campus Virtual o bien desde https://tablonexamenes.unir.net/. Recuerda que debes acudir a la sede de exámenes con 15 minutos de antelación y llevar contigo tu DNI o Pasaporte, justificante de exámenes impreso, bolígrafo azul/negro y cinta correctora. ¿Hay algo más en lo que pueda ayudarte?",0.5269203158650395,585,Medium (0.3-0.6)
calendario de examenes,"📅 Los próximos exámenes son:  



- 📖 **La Formación Histórica de la Cultura Jurídica Europea**:  

  - **Fecha del Examen**: 5 de septiembre de 2025  

  - **Hora de Inicio**: 17:00  

  - **Duración**: 125 minutos  

  - **Ciudad**: Madrid PRESENCIAL  

  - **Hotel**: ILUNION SUITES MADRID*  

  - **Dirección**: C/López de Hoyos, 143 · 28002 Madrid  



- ⚖️ **Derecho Romano Privado**:  

  - **Fecha del Examen**: 5 de septiembre de 2025  

  - **Hora de Inicio**: 19:30  

  - **Duración**: 125 minutos  

  - **Ciudad**: Madrid PRESENCIAL  

  - **Hotel**: ILUNION SUITES MADRID*  

  - **Dirección**: C/López de Hoyos, 143 · 28002 Madrid  



¿Hay algo más en lo que pueda ayudarte?","📅 Puedes consultar el Calendario Académico de tu estudio desde el Aula de Información General en el apartado Documentación/Archivos. Allí encontrarás todas las fechas relevantes, incluidas las de los exámenes. ¿Te gustaría saber cómo inscribirte en los exámenes una vez que se abra el formulario?",0.5349544072948328,395,Medium (0.3-0.6)
recuperación de exámenes,"📅 Los exámenes programados son los siguientes: 



- 5111000004.- La Formación Histórica de la Cultura Jurídica Europea:  

  - Fecha del Examen: 5 de septiembre de 2025  

  - Hora de Inicio: 17:00  

  - Duración: 125 minutos  

  - Ciudad: Madrid PRESENCIAL  

  - Hotel: ILUNION SUITES MADRID*  

  - Dirección: C/López de Hoyos, 143 · 28002 Madrid  



- 5111000003.- Derecho Romano Privado:  

  - Fecha del Examen: 5 de septiembre de 2025  

  - Hora de Inicio: 19:30  

  - Duración: 125 minutos  

  - Ciudad: Madrid PRESENCIAL  

  - Hotel: ILUNION SUITES MADRID*  

  - Dirección: C/López de Hoyos, 143 · 28002 Madrid. ¿Hay algo más en lo que pueda ayudarte?","📅 Si has suspendido alguna asignatura, consulta si en tu estudio existe una convocatoria de exámenes extraordinaria en el calendario académico. Si tienes más dudas sobre este tema, también puedes preguntar a tu mentor. ¿Hay algo más en lo que pueda ayudarte?",0.535059331175836,411,Medium (0.3-0.6)
cambiar fechas de exámenes,"📅 Los próximos exámenes son:  



- 5111000004.- La Formación Histórica de la Cultura Jurídica Europea:  

  - Fecha del Examen: 5 de septiembre de 2025  

  - Hora de Inicio: 17:00  

  - Duración: 125 minutos  

  - Ciudad: Madrid PRESENCIAL  

  - Hotel: ILUNION SUITES MADRID*  

  - Dirección: C/López de Hoyos, 143 · 28002 Madrid  



- 5111000003.- Derecho Romano Privado:  

  - Fecha del Examen: 5 de septiembre de 2025  

  - Hora de Inicio: 19:30  

  - Duración: 125 minutos  

  - Ciudad: Madrid PRESENCIAL  

  - Hotel: ILUNION SUITES MADRID*  

  - Dirección: C/López de Hoyos, 143 · 28002 Madrid  



Para solicitar un cambio de fechas de tus exámenes, puedes acceder a https://tablonexamenes.unir.net o desde el apartado de Secretaría de tu Campus – Cambio de Fecha de Exámenes. ¿Hay algo más en lo que pueda ayudarte?","📅 Para solicitar el cambio de fechas de tus exámenes, primero debes inscribirte en ellos. Puedes hacerlo desde la pestaña 'Exámenes' de tu Campus Virtual o a través de https://tablonexamenes.unir.net/. Una vez inscrito, si necesitas cambiar la fecha, asegúrate de tener una justificación válida. ¿Hay algo más en lo que pueda ayudarte?",0.5504273504273505,500,Medium (0.3-0.6)
lo han cambiado este año?,"🤔 No tengo información sobre cambios específicos para este año. Sin embargo, los exámenes programados son los siguientes: 



- **La Formación Histórica de la Cultura Jurídica Europea**: 

  - **Fecha**: 5 de septiembre de 2025 

  - **Hora**: 17:00 

  - **Duración**: 125 minutos 

  - **Ciudad**: Madrid (Presencial) 

  - **Hotel**: ILUNION SUITES MADRID, C/López de Hoyos, 143 · 28002 Madrid  



- **Derecho Romano Privado**: 

  - **Fecha**: 5 de septiembre de 2025 

  - **Hora**: 19:30 

  - **Duración**: 125 minutos 

  - **Ciudad**: Madrid (Presencial) 

  - **Hotel**: ILUNION SUITES MADRID, C/López de Hoyos, 143 · 28002 Madrid  



¿Te refieres a algún cambio en particular?","📅 Este año, si te refieres a la inscripción a exámenes, puedes hacerlo desde la pestaña 'Exámenes' de tu Campus Virtual o a través de https://tablonexamenes.unir.net/ una vez que se abra el formulario. ¿Te refieres a la inscripción a exámenes o hay algo más específico que te gustaría saber?",0.5551020408163265,398,Medium (0.3-0.6)
"creo que el test lo puedo hacer varias veces. ¿no veo la puntuación? solo me da la opcción de enviar definitivamente, y yo tenía entendido que podías ver la puntuación y repetir tantas veces hasta prenderlo correctamente","📋 Podrás encontrar los test dentro de cada una de las asignaturas, en los apartados ‘Envío de actividades’, ‘Test’ o al final de cada tema. En este mismo espacio podrás consultar la fecha límite de entrega, la puntuación máxima que otorgan, así como el número máximo de intentos. Si revisado el espacio encuentras algún error, puedes trasladar la incidencia al departamento de atención técnica desde el Centro de Ayuda o llamando al 941 610 025. ¿Hay algo más en lo que pueda ayudarte?",🔍 ¿Te refieres a la posibilidad de repetir el test y cómo puedes ver tu puntuación después de cada intento? Puedo ayudarte a aclarar cómo funcionan los tests en tu asignatura y dónde encontrar esa información.,0.5850144092219021,276,Medium (0.3-0.6)
numero de atención técnica,📞 El número de atención técnica es el 941 610 025. ¿Hay algo más en lo que pueda ayudarte?,📞 ¿Te gustaría saber más sobre cómo contactar al departamento de atención técnica o necesitas información adicional sobre los servicios que ofrecen? Estoy aquí para ayudarte.,0.5909090909090909,84,Medium (0.3-0.6)
número de atención tecnica,📞 El número de atención técnica es el 941 610 025. ¿Hay algo más en lo que pueda ayudarte?,📞 ¿Te gustaría saber más sobre los servicios que ofrece la atención técnica o necesitas ayuda con algo específico relacionado con el contacto? Estoy aquí para ayudarte.,0.6046511627906976,78,High (0.6-0.8)
en examenes,"📅 Tienes dos exámenes programados para el 5 de septiembre de 2025 en Madrid, ambos en el Hotel ILUNION SUITES MADRID: 

- La Formación Histórica de la Cultura Jurídica Europea a las 17:00 (125 minutos).  

- Derecho Romano Privado a las 19:30 (125 minutos). ¿Hay algo más en lo que pueda ayudarte?","📅 Los exámenes programados son:  



- 5111000004.-  La Formación Histórica de la Cultura Jurídica Europea:  

  - Fecha del Examen: 5 de septiembre de 2025  

  - Hora de Inicio: 17:00  

  - Duración: 125 minutos  

  - Ciudad: Madrid PRESENCIAL  

  - Hotel: ILUNION SUITES MADRID*  

  - Dirección: C/López de Hoyos, 143 · 28002 Madrid  



- 5111000003.-   Derecho Romano Privado:  

  - Fecha del Examen: 5 de septiembre de 2025  

  - Hora de Inicio: 19:30  

  - Duración: 125 minutos  

  - Ciudad: Madrid PRESENCIAL  

  - Hotel: ILUNION SUITES MADRID*  

  - Dirección: C/López de Hoyos, 143 · 28002 Madrid. ¿Hay algo más en lo que pueda ayudarte?",0.6115183246073298,361,High (0.6-0.8)
queria saber quien es mi mentora ahora y su correo electronico,"📞 Tu mentora es IRENE MENDAZA RUIZ. Puedes contactarla telefónicamente al 941 610 026 con extensión 4024 o a través del correo electrónico del Campus Virtual desde ""Bandeja de entrada"". ¿Hay algo más en lo que pueda ayudarte?","😅 Actualmente no tienes un mentor asignado. Si necesitas más información o asistencia, estaré encantado de ayudarte.",0.6275659824046921,109,High (0.6-0.8)
conseguir el numero de mi mentora,📞 Tu mentora es IRENE MENDAZA RUIZ. Puedes contactarla al teléfono 941 610 026 con extensión 4024. ¿Hay algo más en lo que pueda ayudarte?,"😅 No hay ningún mentor asignado en este momento, por lo que no puedo proporcionarte un número de contacto. Si necesitas ayuda adicional, estaré encantado de asistirte.",0.6295081967213115,29,High (0.6-0.8)
hay que rellenar todos los apartados para unir el documento?,"📝 ¿Te refieres al 'Anexo de Aceptación' para las prácticas? Si es así, ¿quieres saber si hay apartados que se pueden omitir o si todos son obligatorios? Estoy aquí para ayudarte con cualquier duda que tengas.","🤔 No estoy seguro de entender completamente tu pregunta. Mi conocimiento está enfocado en temas relacionados con la Universidad Internacional de La Rioja (UNIR). Si te refieres a algún proceso específico dentro de la universidad, como la presentación de documentos o formularios, estaré encantado de ayudarte. ¿Podrías darme más detalles sobre el documento al que te refieres?",0.6506849315068494,168,High (0.6-0.8)
y si estoy por debajo del 2 puntos en evaluacion continua no puntuaré?,"📊 ¿Podrías aclarar si te refieres a la puntuación mínima necesaria para que las actividades de evaluación continua cuenten en tu nota final? También, ¿quieres saber más sobre cómo se calcula la nota final en base a la evaluación continua y el examen? Estoy aquí para ayudarte con cualquier duda que tengas.","📉 Así es, si estás por debajo de la nota mínima para aprobar en evaluación continua, esos puntos no sumarán a tu nota final. ¿Hay algo más en lo que pueda ayudarte?",0.6510638297872341,142,High (0.6-0.8)
me gustaría poder matricularme del practicum 1,"📄 Para solicitar tus prácticas curriculares, asegúrate de seguir estos pasos. ¿Hay algo más en lo que pueda ayudarte?","📄 Para solicitar tus prácticas curriculares, accede al formulario de solicitud online a través del apartado 'Mis Prácticas' en el menú lateral izquierdo del aula de Prácticas en tu Campus Virtual. ¿Hay algo más en lo que pueda ayudarte?",0.6515580736543909,119,High (0.6-0.8)
no encuentro por donde inscribirme,"📅 Tras la apertura del formulario de inscripción a exámenes, podrás inscribirte desde la pestaña 'Exámenes' en el margen izquierdo o en la parte superior de tu Campus Virtual, o bien desde https://tablonexamenes.unir.net/. Recuerda que podrás visualizar la inscripción y realizar cambios hasta la fecha de cierre del formulario. ¿Hay algo más en lo que pueda ayudarte?",📋 ¿Te refieres a la matrícula para un nuevo curso o a la inscripción para exámenes? Puedo proporcionarte más información sobre cómo acceder a estos procesos si me das un poco más de detalle.,0.6559139784946236,178,High (0.6-0.8)
quiero ver mi fecha de examen. no me deja abrir pestañas,"📅 Tienes dos exámenes programados para el 5 de septiembre de 2025: 

- La Formación Histórica de la Cultura Jurídica Europea a las 17:00. 

- Derecho Romano Privado a las 19:30. Ambos exámenes se realizarán de forma presencial en el Hotel ILUNION SUITES MADRID, ubicado en C/López de Hoyos, 143 · 28002 Madrid. ¿Hay algo más en lo que pueda ayudarte?","📅 Los próximos exámenes son: 

- **La Formación Histórica de la Cultura Jurídica Europea**: 

  - **Fecha**: 5 de septiembre de 2025 

  - **Hora de Inicio**: 17:00 

  - **Duración**: 125 minutos 

  - **Ciudad**: Madrid PRESENCIAL 

  - **Hotel**: ILUNION SUITES MADRID 

  - **Dirección**: C/López de Hoyos, 143 · 28002 Madrid 



- **Derecho Romano Privado**: 

  - **Fecha**: 5 de septiembre de 2025 

  - **Hora de Inicio**: 19:30 

  - **Duración**: 125 minutos 

  - **Ciudad**: Madrid PRESENCIAL 

  - **Hotel**: ILUNION SUITES MADRID 

  - **Dirección**: C/López de Hoyos, 143 · 28002 Madrid. 



¿Hay algo más en lo que pueda ayudarte? ✨",0.6693386773547094,298,High (0.6-0.8)
calendario examenes,"📅 Las fechas de los exámenes son las siguientes: 

- **La Formación Histórica de la Cultura Jurídica Europea**: 5 de septiembre de 2025 a las 17:00 (Madrid, presencial). 

- **Derecho Romano Privado**: 5 de septiembre de 2025 a las 19:30 (Madrid, presencial). 

Puedes consultar el Calendario Académico en el Aula de Información General para más detalles. ¿Hay algo más en lo que pueda ayudarte?","📅 Los próximos exámenes son:  



- 5111000004.- La Formación Histórica de la Cultura Jurídica Europea:  

  - Fecha del Examen: 5 de septiembre de 2025  

  - Hora de Inicio: 17:00  

  - Duración: 125 minutos  

  - Ciudad: Madrid PRESENCIAL  

  - Hotel: ILUNION SUITES MADRID*  

  - Dirección: C/López de Hoyos, 143 · 28002 Madrid  



- 5111000003.- Derecho Romano Privado:  

  - Fecha del Examen: 5 de septiembre de 2025  

  - Hora de Inicio: 19:30  

  - Duración: 125 minutos  

  - Ciudad: Madrid PRESENCIAL  

  - Hotel: ILUNION SUITES MADRID*  

  - Dirección: C/López de Hoyos, 143 · 28002 Madrid. ¿Hay algo más en lo que pueda ayudarte?",0.670487106017192,257,High (0.6-0.8)
no me funciona el campus en el movil,"📱 Actualmente en UNIR no contamos con una aplicación móvil propia. Para acceder a tu plataforma de estudios desde un dispositivo móvil, necesitas una conexión activa a internet y debes ingresar a www.unir.net/. Si sigues teniendo problemas, puedes contactar con Atención Técnica mediante el centro de asistencia en el campus. ¿Hay algo más en lo que pueda ayudarte?","📱 ¿Podrías darme más detalles sobre el problema que estás experimentando en el campus móvil? ¿Te refieres a dificultades para acceder, cargar contenido o alguna otra cosa? Estoy aquí para ayudarte a resolverlo.",0.688695652173913,155,High (0.6-0.8)
quiero saber el estado de mi solicitud de practicas,"📋 ¿Podrías especificar si te refieres a prácticas curriculares o extracurriculares? Además, ¿has contactado ya a tu mentor/a para obtener información sobre el estado de tu solicitud? Estoy aquí para ayudarte con cualquier duda que tengas.",📞 Te recomiendo que contactes con tu mentor para revisar el estado de tu solicitud de prácticas. ¿Hay algo más en lo que pueda ayudarte?,0.7058823529411765,102,High (0.6-0.8)
quiero saber mi numero de grupo,"📧 Para conocer tu número de grupo en las actividades grupales, recibirás un correo electrónico en tu cuenta de estudiante (@comunidadunir.net) con la información necesaria. ¿Hay algo más en lo que pueda ayudarte?","😅 Según la información, no tienes grupos de trabajo asignados. Si necesitas más detalles o tienes otra pregunta, ¡estaré encantado de ayudarte!",0.7323943661971831,69,High (0.6-0.8)
contactar con mi mentor,"📞 Puedes contactar con tu mentor/a, IRENE MENDAZA RUIZ, al teléfono 941 610 026 con extensión 4024, o a través del correo electrónico del Campus Virtual desde 'Bandeja de entrada'. También puedes contactar con MANUEL GALARRETA ESPINOSA al mismo número, pero con la extensión 5001. ¿Hay algo más en lo que pueda ayudarte?",📞 Puedes contactar con tu mentor/a de UNIR telefónicamente en el 941 610 026. También puedes hacerlo desde la bandeja de entrada de tu campus virtual. ¿Hay algo más en lo que pueda ayudarte?,0.7333333333333333,130,High (0.6-0.8)
